fam	animal	trt	age	adult.mass	SEX	parity
1	F80177	5	15.8	7.13	F	0
1	F81062	5	14.5	9.23	F	8
1	F81167	2	14	6.38	F	5
1	F81232	0	13.8	6.69	F	7
1	F81506	1	13.7	7.37	F	0
1	F82195	4	13.2	9.97	F	8
1	F82291	4	10.6	5.75	F	0
1	F83194	4	12.8	7.79	F	0
1	F84343	6	11.3	6.92	F	0
1	F85350	0	13.7	7.77	F	0
1	F85354	0	9.4	10.74	F	4
1	F86049	0	10.1	6.71	F	4
1	F86175	0	9.8	6.14	F	4
1	F86349	0	9.3	6.39	F	0
1	F86363	0	9.4	6.56	F	0
1	F86401	2	9.3	7.25	F	0
1	F87030	0	8.4	7.1	F	4
1	F87057	0	5.9	6.41	F	0
1	F87129	0	8.8	5.75	F	0
1	F87264	0	8.5	5.44	F	0
1	F88048	4	11.4	7.14	F	0
1	F88178	0	7	6.34	F	2
1	F88218	0	7.4	6.38	F	3
1	F88224	0	7.1	4.53	F	2
1	F88229	0	7.8	6.75	F	3
1	F88249	0	7.4	5.09	F	2
1	F88262	0	7.2	5.8	F	2
1	F88296	0	7.1	7.46	F	2
1	F88337	0	7.2	5.25	F	3
1	F88355	0	7	7.56	F	0
1	F88360	0	6.9	7.22	F	2
1	F88393	0	7	5.1	F	3
1	F88415	0	6.9	6.71	F	1
1	F88436	0	6.8	6.63	F	2
1	F89061	0	6.2	6.18	F	0
1	F89063	0	6.6	5.93	F	1
1	F89135	0	6.3	6.15	F	2
1	F89159	0	6.6	6.06	F	3
1	F89232	0	6.3	6.15	F	2
1	F89280	0	6.2	6.93	F	2
1	F89281	0	6.3	7.07	F	2
1	F89344	0	6.2	6.54	F	2
1	F89349	0	6.1	6.74	F	2
1	F89391	0	5.9	6.62	F	0
1	F89411	0	5.9	6.9	F	2
1	F90020	0	5.8	5.87	F	2
1	F90062	0	5.8	5.82	F	1
1	F90067	0	5.8	6.83	F	1
1	F90069	0	6	6.05	F	0
1	F90080	0	5.7	7.04	F	1
1	F90098	1	5.9	6.07	F	0
1	F90101	0	5.9	5.1	F	0
1	F90130	0	5.5	8.05	F	0
1	F90133	0	5.5	9.21	F	1
1	F90142	0	5.5	6.59	F	1
1	F90169	0	5.4	6.13	F	1
1	F90180	0	5.3	8.35	F	1
1	F90181	0	5.5	6.67	F	2
1	F90201	0	5.3	5.57	F	2
1	F90209	0	5.6	6.79	F	0
1	F90245	0	5.3	6.44	F	1
1	F90347	0	5.4	7.07	F	0
1	F90423	0	5	7.12	F	4
1	F91030	0	4.7	6.09	F	1
1	F91042	0	4.8	7.08	F	1
1	J87043	0	8.3	5.9	F	3
1	J88045	0	7.4	6.05	F	3
1	J88100	0	8	6.71	F	0
1	J88177	0	7.7	7.25	F	0
1	J88199	1	7.5	7.7	F	3
1	J88333	0	7.2	6.92	F	0
1	J88372	0	7	7.08	F	5
1	J88382	0	6.4	6.33	F	3
1	J88421	0	7.1	5.28	F	0
1	J88426	0	6.8	5.51	F	2
1	J89069	0	6.7	7.33	F	3
1	J89139	0	6.8	6.24	F	0
1	J89295	0	6.1	5.53	F	2
1	J89384	0	6.1	7.06	F	1
1	J90013	0	5.7	7.3	F	1
1	J90014	0	5.8	7.01	F	2
1	J90018	0	6.1	8	F	0
1	J90037	0	5.7	5.82	F	3
1	J90048	1	6	6.18	F	0
1	J90084	0	5.6	5.41	F	2
1	J90106	0	5.7	5.14	F	1
1	J90119	0	5.7	7.02	F	2
1	J90150	0	5.5	7.46	F	2
1	J90168	0	5.4	5.23	F	1
1	J90176	0	5.5	4.82	F	1
1	J90185	0	5.4	6.87	F	2
1	J90226	0	5.2	5.34	F	1
1	J90247	1	5.2	4.84	F	1
1	J90268	0	5.5	5.1	F	0
1	J90337	0	5.1	4.62	F	1
1	J90395	0	5.3	5.39	F	0
1	J90414	0	4.9	5.68	F	0
1	J90431	0	5.3	6.4	F	0
1	J91190	0	4.7	5.69	F	0
1	K89256	0	6.4	6.66	F	2
1	M66291	8	29.2	6.85	F	9
1	M70097	8	22.8	7.15	F	15
1	M70155	9	24.8	9.11	F	10
1	M74192	7	21	8.85	F	0
1	M76189	7	16.7	6.99	F	2
1	M78306	9	17	8.14	F	11
1	M85078	3	11	11.04	F	0
1	M85244	2	10.5	7.31	F	0
1	M86277	2	8.8	8.95	F	0
1	M90096	0	5.5	6.17	F	1
1	T76104	4	16.9	4.9	F	3
1	T76182	5	19.1	10.56	F	0
1	T77101	8	18.4	9.55	F	0
1	T79119	6	16.5	6.69	F	10
1	T79329	6	16.1	9.49	F	12
1	T79387	0	16	7.27	F	11
1	T79462	7	15.5	8.34	F	4
1	T79476	2	15.5	7.55	F	0
1	T79480	8	15.8	7.75	F	11
1	T80081	1	15.5	7.81	F	0
1	T80456	0	15.4	7.75	F	11
1	T81050	7	14.8	11.04	F	8
1	T81084	0	14.7	8.34	F	6
1	T81222	5	14	9.17	F	0
1	T81282	1	13.9	7.7	F	0
1	T81328	8	14.1	8.54	F	0
1	T82017	6	13.5	11.42	F	0
1	T82082	2	14.1	7.62	F	0
1	T83173	0	12.3	8.73	F	0
1	T84102	0	11.1	9.32	F	0
1	T84392	3	11.2	8.15	F	0
1	T85092	0	11	7.37	F	0
1	T86159	0	9.8	7.89	F	0
1	T87255	0	7.9	4.77	F	3
1	T87297	0	8.4	6.83	F	0
1	T89131	0	6.6	5.94	F	2
1	T89251	0	6.3	7.52	F	0
1	T90190	0	5.4	7.45	F	1
1	X81284	5	17	7.6	F	12
1	X84072	1	9.4	8.31	F	0
1	X84115	5	12.6	7.87	F	0
1	X85150	3	14.4	8.95	F	10
1	X86074	8	12.7	7.9	F	0
1	X87032	5	14	9.69	F	4
1	X89057	0	14.3	7.59	F	5
2	M72273	7	22.7	8.03	F	3
3	M86388	0	9.3	7.8	F	0
4	M89366	0	6.1	5.99	F	0
5	M90072	0	5.8	7.21	F	2
6	M90068	0	5.7	6.92	F	2
7	A91200	5	12.5	5.94	F	0
9	A91214	0	11.6	6.22	F	4
10	A91242	0	17	6.52	F	0
14	X71301	9	28.3	12.35	F	0
15	X71380	8	26.5	7.9	F	11
16	X74273	9	22.5	9.84	F	0
17	X85135	9	17.2	8	F	7
18	X86115	9	17.1	7.65	F	0
19	X87035	7	16.6	9.06	F	6
20	X89224	0	13.2	7.31	F	3
21	X89228	4	10.6	8.25	F	0
22	X90153	3	12.5	7.89	F	2
23	X90179	8	12.4	6.22	F	3
24	X91104	0	6.8	6.29	F	2
25	X91105	0	6.8	5.43	F	2
26	X91108	0	6.3	4.76	F	1
27	X91117	0	5.6	7.1	F	1
29	X91160	0	6.4	7	F	3
30	X91163	0	6.3	5.4	F	0
31	X94073	0	9.5	6	F	0
32	X97139	2	11.9	8.15	F	0
33	X98124	2	11.7	7.5	F	0
34	X98132	0	10.5	6.5	F	0
