EGO	SIRE	DAM
A85131	NA	NA
X57199	NA	NA
X60490	NA	NA
X61565	NA	NA
X61572	NA	NA
X62673	NA	NA
X63748	NA	NA
X63813	NA	NA
X65233	NA	NA
X66006	NA	NA
X66176	NA	NA
X66179	NA	NA
X66218	NA	NA
X66229	NA	NA
X66242	NA	NA
X66333	NA	NA
X66338	NA	NA
X66420	NA	NA
X66421	NA	NA
X66477	NA	NA
X66492	NA	NA
X66514	NA	NA
X66517	NA	NA
X67061	NA	NA
X67248	NA	NA
X67250	NA	NA
X67270	NA	NA
X67350	NA	NA
X68023	NA	NA
X68024	NA	NA
X68298	NA	NA
X68307	NA	NA
X69040	NA	NA
X69061	NA	NA
X69065	NA	NA
X69070	NA	NA
X69083	NA	NA
X69261	NA	NA
X69290	NA	NA
X69428	NA	NA
X69440	NA	NA
X69446	NA	NA
X69448	NA	NA
X69449	NA	NA
X69487	NA	NA
X69490	NA	NA
X70071	NA	NA
X70075	NA	NA
X70079	NA	NA
X70149	NA	NA
X70168	NA	NA
X70172	NA	NA
X70313	NA	NA
X70346	NA	NA
X70348	NA	NA
X70349	NA	NA
X70353	NA	NA
X70356	NA	NA
X70370	NA	NA
X70399	NA	NA
X70509	NA	NA
X70520	NA	NA
X70537	NA	NA
X70548	NA	NA
X71198	NA	NA
X71200	NA	NA
X71273	NA	NA
X71280	NA	NA
X71284	NA	NA
X71286	NA	NA
X71288	NA	NA
X71296	NA	NA
X71328	NA	NA
X71407	NA	NA
X71417	NA	NA
X71450	NA	NA
X71451	NA	NA
X72007	NA	NA
X72009	NA	NA
X72055	NA	NA
X72286	NA	NA
X72305	NA	NA
X72306	NA	NA
X72309	NA	NA
X72313	NA	NA
X72315	NA	NA
X72325	NA	NA
X72328	NA	NA
X72354	NA	NA
X72398	NA	NA
X72404	NA	NA
X73079	NA	NA
X73208	NA	NA
X73468	NA	NA
X73485	NA	NA
X74184	NA	NA
X74185	NA	NA
X74199	NA	NA
X74200	NA	NA
X74203	NA	NA
X74212	NA	NA
X74214	NA	NA
X74256	NA	NA
X74262	NA	NA
X74268	NA	NA
X74275	NA	NA
X74282	NA	NA
X76028	NA	NA
X76029	NA	NA
X76041	NA	NA
X76058	NA	NA
X76061	NA	NA
X76118	NA	NA
X76122	NA	NA
X76140	NA	NA
X76142	NA	NA
X76143	NA	NA
X76249	NA	NA
X77035	NA	NA
X77045	NA	NA
X77047	NA	NA
X77117	NA	NA
X77124	NA	NA
X77129	NA	NA
X77222	NA	NA
X77273	NA	NA
X77315	NA	NA
X78015	NA	NA
X78024	NA	NA
X78025	NA	NA
X78055	NA	NA
X78092	NA	NA
X78097	NA	NA
X78100	NA	NA
X78122	NA	NA
X78188	NA	NA
X78190	NA	NA
X78195	NA	NA
X78214	NA	NA
X78215	NA	NA
X78221	NA	NA
X78249	NA	NA
X78310	NA	NA
X78320	NA	NA
X78363	NA	NA
X78365	NA	NA
X78366	NA	NA
X81274	NA	NA
X81284	NA	NA
X81291	NA	NA
X81312	NA	NA
X81313	NA	NA
X83097	NA	NA
X83102	NA	NA
X83112	NA	NA
X83121	NA	NA
X83163	NA	NA
X83166	NA	NA
X83168	NA	NA
X84069	NA	NA
X84072	NA	NA
X84108	NA	NA
X84115	NA	NA
X84131	NA	NA
X84133	NA	NA
X84322	NA	NA
X84325	NA	NA
X84328	NA	NA
X85139	NA	NA
X85150	NA	NA
X86071	NA	NA
X86074	NA	NA
X86075	NA	NA
X86103	NA	NA
X86120	NA	NA
X87008	NA	NA
X87025	NA	NA
X87026	NA	NA
X87029	NA	NA
X87032	NA	NA
X87040	NA	NA
X89052	NA	NA
X89057	NA	NA
X89061	NA	NA
X89222	NA	NA
Y1	NA	NA
Y11	NA	NA
Y12	NA	NA
Y2	NA	NA
Y3	NA	NA
Y4	NA	NA
Y5	NA	NA
Y50000	NA	NA
Y6	NA	NA
Y60002	NA	NA
Y61050	NA	NA
Y7	NA	NA
Y8	NA	NA
X70546	NA	NA
X71437	NA	NA
X83110	NA	NA
X83123	NA	NA
X85133	NA	NA
X87027	NA	NA
X89212	NA	NA
Y9	NA	NA
X89219	NA	NA
Y10	NA	NA
A91200	NA	NA
A91202	NA	NA
A91214	NA	NA
A91242	NA	NA
X71301	NA	NA
X71380	NA	NA
X74273	NA	NA
X85135	NA	NA
X86115	NA	NA
X87035	NA	NA
X89224	NA	NA
X89228	NA	NA
X90153	NA	NA
X90179	NA	NA
X91104	NA	NA
X91105	NA	NA
X91108	NA	NA
X91117	NA	NA
X91136	NA	NA
X91160	NA	NA
X91163	NA	NA
X94073	NA	NA
X97139	NA	NA
X98124	NA	NA
X98132	NA	NA
M63010	X57199	Y60002
M64040	X57199	X63813
M64042	X57199	X62673
M65218	X61565	X60490
M66291	X57199	Y61050
M67053	X66176	X66492
M67066	X66176	X66333
M67096	Y50000	X66477
M68002	X66179	X66242
M68003	X66338	X66421
M68042	X61572	X63748
M68044	X66179	X65233
M68078	X66176	X66492
M69028	X61572	X67248
M69074	X66176	X66420
M69098	X68024	X66517
M69099	X66338	X66514
M69124	X66338	X67061
M69153	X69083	X67270
M70019	X66176	X66006
M70049	X69040	X69261
M70065	X69040	X69290
M70090	X69446	X69428
M70097	X66179	X68307
M70155	X61572	X67248
M70165	X67350	X69490
M71013	X69448	X70075
M71020	X69446	X69061
M71035	Y1	X69065
M71065	X68023	X68298
